pays_code,langue_code,officiel,pourcentage
AF,bal,0,0.9
AF,pus,1,52.4
AF,tuk,0,1.9
AF,uzb,0,8.8
AL,ell,0,1.8
AL,mkd,0,0.1
AL,sqi,1,97.9
AD,cat,1,32.3
AD,fra,0,6.2
AD,por,0,10.8
AD,spa,0,44.6
AE,arb,1,42.0
AE,hin,0,0.0
AR,ita,0,1.7
AR,spa,1,96.8
AM,aze,0,2.6
AM,hye,1,93.4
AG,eng,1,0.0
AU,arb,0,1.0
AU,deu,0,0.6
AU,ell,0,1.6
AU,eng,1,81.2
AU,hbs,0,0.6
AU,ita,0,2.2
AU,vie,0,0.8
AT,ces,0,0.2
AT,deu,1,92.0
AT,hbs,0,2.2
AT,hun,0,0.4
AT,pol,0,0.2
AT,ron,0,0.2
AT,slv,0,0.4
AT,tur,0,1.5
AZ,aze,1,89.0
AZ,hye,0,2.0
AZ,rus,0,3.0
BI,fra,1,0.0
BI,run,1,98.1
BI,swa,0,0.0
BE,arb,0,1.6
BE,deu,1,1.0
BE,fra,1,32.6
BE,ita,0,2.4
BE,nld,1,59.2
BE,tur,0,0.9
BJ,ful,0,5.6
BF,ful,0,9.7
BD,ben,1,97.7
BG,bul,1,83.2
BG,mkd,0,2.6
BG,rom,0,3.7
BG,tur,0,9.4
BH,arb,1,67.7
BH,eng,0,0.0
BA,hbs,1,99.2
BY,bel,1,65.6
BY,pol,0,0.6
BY,rus,1,32.0
BY,ukr,0,1.3
BZ,eng,1,50.8
BZ,spa,0,31.6
BO,aym,1,3.2
BO,spa,1,87.7
BR,deu,0,0.5
BR,ita,0,0.4
BR,jpn,0,0.4
BR,por,1,97.5
BB,eng,1,0.0
BN,eng,0,3.1
BN,msa,1,45.5
BN,zho,0,9.3
BT,nep,0,34.8
CA,deu,0,1.6
CA,eng,1,60.4
CA,fra,1,23.4
CA,ita,0,1.7
CA,nld,0,0.5
CA,pan,0,0.7
CA,pol,0,0.7
CA,por,0,0.7
CA,spa,0,0.7
CA,ukr,0,0.6
CA,zho,0,2.5
CH,deu,1,63.6
CH,fra,1,19.2
CH,ita,1,7.7
CH,roh,1,0.6
CL,aym,0,0.5
CL,spa,1,89.7
CN,mon,0,0.4
CN,zho,1,92.0
CM,ful,0,9.6
CK,eng,0,0.0
CO,spa,1,99.0
CV,por,1,0.0
CR,spa,1,97.5
CR,zho,0,0.2
CU,spa,1,100.0
CY,ell,1,74.1
CY,tur,1,22.4
CZ,ces,1,81.2
CZ,deu,0,0.5
CZ,hun,0,0.2
CZ,pol,0,0.6
CZ,rom,0,0.3
CZ,slk,0,3.1
DE,deu,1,91.3
DE,ell,0,0.4
DE,ita,0,0.7
DE,pol,0,0.3
DE,tur,0,2.6
DJ,arb,1,10.6
DJ,som,0,43.9
DK,arb,0,0.7
DK,dan,1,93.5
DK,deu,0,0.5
DK,eng,0,0.3
DK,nob,0,0.3
DK,swe,0,0.3
DK,tur,0,0.8
DO,spa,1,98.0
DZ,arb,1,86.0
DZ,ber,0,14.0
EC,spa,1,93.0
EG,arb,1,98.8
ER,tir,1,49.1
ES,cat,0,16.9
ES,eus,0,1.6
ES,glg,0,6.4
ES,spa,1,74.4
EE,bel,0,1.4
EE,est,1,65.3
EE,fin,0,0.7
EE,rus,0,27.8
EE,ukr,0,2.8
ET,som,0,4.1
ET,tir,0,7.2
FI,est,0,0.2
FI,fin,1,92.7
FI,rus,0,0.4
FI,sme,0,0.0
FI,swe,1,5.7
FJ,hin,0,43.7
FR,arb,0,2.5
FR,fra,1,93.6
FR,ita,0,0.4
FR,por,0,1.2
FR,spa,0,0.4
FR,tur,0,0.6
GB,eng,1,97.3
GE,aze,0,5.5
GE,hye,0,6.8
GE,kat,1,71.7
GE,rus,0,8.8
GN,ful,0,38.6
GM,ful,0,16.2
GM,wol,0,12.6
GW,ful,0,16.6
GW,por,1,8.1
GR,ell,1,98.5
GR,tur,0,0.9
GL,dan,1,12.5
GL,kal,1,87.5
GT,spa,1,64.7
HK,eng,1,2.2
HN,spa,1,97.2
HR,hbs,1,95.9
HR,slv,0,0.0
HT,fra,1,0.0
HU,deu,0,0.4
HU,hbs,0,0.2
HU,hun,1,98.5
HU,rom,0,0.5
HU,ron,0,0.1
HU,slk,0,0.1
ID,msa,1,12.1
IN,ben,0,8.2
IN,guj,0,4.8
IN,hin,1,39.9
IN,pan,0,2.8
IN,tam,0,6.3
IN,tel,0,7.8
IN,urd,0,5.1
IE,eng,1,98.4
IE,gle,1,1.6
IR,arb,0,2.2
IR,aze,0,16.8
IR,bal,0,2.3
IR,fas,1,45.7
IR,kur,0,9.1
IR,tuk,0,1.6
IQ,arb,1,77.2
IQ,aze,0,1.7
IQ,fas,0,0.8
IQ,kur,0,19.0
IS,eng,0,0.0
IS,isl,1,95.7
IL,arb,1,18.0
IL,heb,1,63.1
IL,rus,0,8.9
IT,deu,0,0.5
IT,fra,0,0.5
IT,fur,0,1.2
IT,ita,1,94.1
IT,rom,0,0.2
IT,slv,0,0.2
IT,sqi,0,0.2
IT,srd,0,2.7
JM,hin,0,1.9
JO,arb,1,97.9
JO,hye,0,1.0
JP,ain,0,0.1
JP,eng,0,0.1
JP,jpn,1,99.1
JP,kor,0,0.5
JP,zho,0,0.2
KZ,deu,0,3.1
KZ,kaz,1,46.0
KZ,rus,0,34.7
KZ,tat,0,2.0
KZ,ukr,0,5.0
KZ,uzb,0,2.3
KG,kaz,0,0.8
KG,kir,1,59.7
KG,rus,1,16.2
KG,tat,0,1.3
KG,tgk,0,0.8
KG,ukr,0,1.7
KG,uzb,0,14.1
KH,khm,1,88.6
KH,vie,0,5.5
KH,zho,0,3.1
KI,gil,1,98.9
KN,eng,1,0.0
KR,kor,1,99.9
KR,zho,0,0.1
KW,arb,1,78.1
KW,eng,0,0.0
LA,lao,1,67.2
LA,tha,0,7.8
LB,arb,1,93.0
LB,fra,0,0.0
LB,hye,0,5.9
LY,arb,1,96.0
LY,ber,0,1.0
LC,eng,1,20.0
LI,deu,1,89.0
LI,ita,0,2.5
LI,tur,0,2.5
LK,sin,1,60.3
LK,tam,1,19.6
LS,eng,1,0.0
LS,zul,0,15.0
LT,bel,0,1.4
LT,lit,1,81.6
LT,pol,0,7.0
LT,rus,0,8.1
LT,ukr,0,1.1
LU,deu,1,2.3
LU,fra,1,4.2
LU,ita,0,4.6
LU,ltz,1,64.4
LU,por,0,13.0
LV,bel,0,4.1
LV,lav,1,55.1
LV,lit,0,1.2
LV,pol,0,2.1
LV,rus,0,32.5
LV,ukr,0,2.9
MA,arb,1,65.0
MA,ber,0,33.0
MC,eng,0,6.5
MC,fra,1,41.9
MC,ita,0,16.1
MD,bul,0,1.6
MD,ron,1,61.9
MD,rus,0,23.2
MD,ukr,0,8.6
MG,fra,1,0.0
MG,mlg,1,98.9
MV,div,1,100.0
MV,eng,0,0.0
MX,myn,0,1.1
MX,nci,0,1.8
MX,oto,0,0.4
MX,spa,1,92.1
MH,eng,1,0.0
MK,hbs,0,2.0
MK,mkd,1,66.5
MK,rom,0,2.3
MK,sqi,0,22.9
MK,tur,0,4.0
ML,ful,0,13.9
MT,eng,1,2.1
MT,mlt,1,95.8
MM,mya,1,69.0
MN,kaz,0,5.9
MN,mon,1,78.8
MR,ful,0,1.2
MR,wol,0,6.6
MU,fra,0,3.4
MU,hin,0,1.2
MU,tam,0,0.8
MY,eng,0,1.6
MY,msa,1,58.4
MY,tam,0,3.9
MY,zho,0,9.0
NA,afr,0,9.5
NA,deu,0,0.9
NE,ful,0,9.7
NG,ful,0,11.3
NI,spa,1,97.6
NU,eng,1,0.0
NL,arb,0,0.9
NL,nld,1,95.6
NL,tur,0,0.8
NO,dan,0,0.4
NO,eng,0,0.5
NO,nno,1,14.3
NO,nob,1,96.6
NO,sme,0,0.0
NO,swe,0,0.3
NP,hin,0,3.0
NP,mai,0,11.9
NP,nep,1,50.4
NR,eng,1,7.5
NR,gil,0,17.9
NR,nau,1,57.5
NR,tvl,0,8.5
NR,zho,0,8.5
NZ,eng,1,87.0
OM,arb,1,76.7
OM,bal,0,0.0
PK,bal,0,3.0
PK,pan,0,48.2
PK,pus,0,13.1
PK,urd,1,7.6
PA,arb,0,0.6
PA,spa,1,76.8
PE,aym,1,2.3
PE,spa,1,79.8
PH,tgl,1,29.3
PW,eng,1,3.2
PW,zho,0,1.6
PL,bel,0,0.5
PL,deu,0,1.3
PL,pol,1,97.6
PL,ukr,0,0.6
PR,eng,0,47.4
PR,spa,1,51.3
KP,kor,1,99.9
KP,zho,0,0.1
PT,por,1,99.0
PY,deu,0,0.9
PY,por,0,3.2
PY,spa,1,55.1
PS,arb,0,95.9
PS,heb,0,4.1
QA,arb,1,40.7
QA,urd,0,0.0
RO,deu,0,0.4
RO,hbs,0,0.1
RO,hun,0,7.2
RO,rom,1,0.7
RO,ron,1,90.7
RO,ukr,0,0.3
RU,bel,0,0.3
RU,kaz,0,0.4
RU,rus,1,86.6
RU,tat,0,3.2
RU,ukr,0,1.3
RW,fra,1,0.0
RW,kin,1,100.0
SA,arb,1,95.0
SD,arb,1,49.4
SN,ful,0,21.7
SN,wol,1,48.1
SG,msa,1,14.1
SG,tam,1,7.4
SG,zho,1,77.1
SL,ful,0,3.8
SV,spa,1,100.0
SM,ita,1,100.0
SO,arb,1,0.0
SO,som,1,98.3
ST,fra,0,0.7
SR,hin,0,0.0
SR,srn,0,81.0
SK,hun,0,10.5
SK,rom,0,1.7
SK,slk,1,85.6
SI,hbs,0,7.9
SI,hun,0,0.5
SI,slv,1,87.9
SE,arb,0,0.8
SE,fin,0,2.4
SE,nob,0,0.5
SE,spa,0,0.6
SE,swe,1,89.5
SZ,zul,0,2.0
SC,eng,1,3.8
SC,fra,1,1.3
SY,arb,1,90.0
SY,kur,0,9.0
TD,arb,1,12.3
TH,khm,0,1.3
TH,lao,0,26.9
TH,msa,0,3.6
TH,tha,1,52.6
TH,zho,0,12.1
TJ,rus,0,9.7
TJ,tgk,1,62.2
TJ,uzb,0,23.2
TM,kaz,0,2.0
TM,rus,0,6.7
TM,tuk,1,76.7
TM,uzb,0,9.2
TO,eng,1,0.0
TT,eng,0,93.5
TT,hin,0,3.4
TN,arb,1,69.9
TR,arb,0,1.4
TR,kur,0,10.6
TR,tur,1,87.6
TV,eng,1,0.0
TV,gil,0,7.5
TV,tvl,1,92.5
TZ,swa,1,8.8
UA,bel,0,0.3
UA,bul,0,0.3
UA,hun,0,0.3
UA,pol,0,0.1
UA,ron,0,0.7
UA,rus,0,32.9
UA,ukr,1,64.7
UY,spa,1,95.7
US,deu,0,0.7
US,eng,1,86.2
US,fra,0,0.7
US,ita,0,0.6
US,jpn,0,0.2
US,kor,0,0.3
US,pol,0,0.3
US,por,0,0.2
US,spa,0,7.5
US,vie,0,0.2
US,zho,0,0.6
UZ,kaz,0,3.8
UZ,rus,0,10.9
UZ,tat,0,1.8
UZ,tgk,0,4.4
UZ,uzb,1,72.6
VA,ita,1,0.0
VC,eng,1,0.0
VE,spa,1,96.9
VN,khm,0,1.4
VN,tha,0,1.6
VN,vie,1,86.8
VN,zho,0,1.4
VU,eng,1,28.3
VU,fra,1,14.2
WS,eng,1,0.6
YE,arb,1,99.6
ZA,afr,1,14.3
ZA,eng,1,8.5
ZA,xho,1,17.7
ZA,zul,1,22.7
ZW,eng,1,2.2
